PROBEID	GENENAME
1552521_a_at	transmembrane protein 74
1552522_at	tigger transposable element derived 4
1552523_a_at	tigger transposable element derived 4
1552524_at	ADP-ribosyltransferase 5
1552526_at	family with sequence similarity 71, member C
1552528_at	long intergenic non-protein coding RNA 1547
1552531_a_at	NLR family, pyrin domain containing 11
1552532_a_at	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2
1552535_at	claudin 19
1552536_at	vesicle transport through interaction with t-SNAREs 1A
1552538_a_at	kinesin family member 6
1552540_s_at	IQ motif containing D
1552541_at	T-cell activation RhoGTPase activating protein
1552542_s_at	T-cell activation RhoGTPase activating protein
1552543_a_at	stonin 2
1552544_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12
1552546_a_at	leucine zipper-EF-hand containing transmembrane protein 2
1552548_at	barttin CLCNK-type chloride channel accessory beta subunit
1552549_a_at	barttin CLCNK-type chloride channel accessory beta subunit
1552552_s_at	C-type lectin domain family 4, member C
1552553_a_at	NLR family, CARD domain containing 4
1552554_a_at	NLR family, CARD domain containing 4
1552555_at	protease, serine, 36
1552557_a_at	zinc finger, DHHC-type containing 15
1552558_a_at	retinoic acid induced 1
1552559_a_at	cyclin-dependent kinase 15
1552562_at	zinc finger protein 570
1552563_a_at	NA
1552564_at	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1
1552566_at	BTB (POZ) domain containing 16
1552568_at	receptor (chemosensory) transporter protein 3
1552569_a_at	receptor (chemosensory) transporter protein 3
1552570_at	thrombospondin-type laminin G domain and EAR repeats
1552572_a_at	mirror-image polydactyly 1
1552573_s_at	mirror-image polydactyly 1
1552575_a_at	chromosome 6 open reading frame 141
1552576_at	Alstrom syndrome 1 pseudogene
1552578_a_at	myosin IIIB
1552579_a_at	ADAM metallopeptidase domain 21
1552580_at	tripartite motif family-like 2
1552582_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene
1552583_s_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene
1552584_at	interleukin 12 receptor, beta 1
1552585_s_at	general transcription factor IIA, 1-like
1552586_at	transient receptor potential cation channel, subfamily V, member 3
1552587_at	cyclic nucleotide binding domain containing 1
1552588_a_at	cyclic nucleotide binding domain containing 1
1552590_a_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 12
1552592_at	matrix metallopeptidase 21
1552594_at	transmembrane protein 190
1552596_at	growth arrest-specific 2 like 2
1552598_at	potassium channel, voltage gated modifier subfamily G, member 4
1552599_at	peroxisomal, testis specific 1
1552602_at	calcium channel, voltage-dependent, gamma subunit 5
1552604_at	long intergenic non-protein coding RNA 308
1552605_s_at	long intergenic non-protein coding RNA 308
1552607_at	family with sequence similarity 223, member B (non-protein coding)
1552607_at	family with sequence similarity 223, member A (non-protein coding)
1552608_at	WAP four-disulfide core domain 11
1552609_s_at	interferon, lambda 3
1552609_s_at	interferon, lambda 2
1552610_a_at	Janus kinase 1
1552611_a_at	Janus kinase 1
1552612_at	CDC42 small effector 2
1552613_s_at	CDC42 small effector 2
1552615_at	acetyl-CoA carboxylase beta
1552616_a_at	acetyl-CoA carboxylase beta
1552617_a_at	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase
1552618_at	syntaxin 6
1552619_a_at	anillin actin binding protein
1552620_at	small proline-rich protein 4
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J2
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J3
1552621_at	uroplakin 3B-like
1552622_s_at	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa
1552622_s_at	polymerase (RNA) II (DNA directed) polypeptide J2
1552622_s_at	PMS1 homolog 2, mismatch repair system component pseudogene
1552622_s_at	polymerase (RNA) II (DNA directed) polypeptide J3
1552622_s_at	uroplakin 3B-like
1552623_at	hematopoietic SH2 domain containing
1552625_a_at	tRNA nucleotidyl transferase, CCA-adding, 1
1552626_a_at	transmembrane protein 163
1552627_a_at	Rho GTPase activating protein 5
1552628_a_at	HERPUD family member 2
1552629_a_at	jumonji domain containing 6
1552630_a_at	Snf2-related CREBBP activator protein
1552631_a_at	mitogen-activated protein kinase kinase kinase 6
1552632_a_at	arylsulfatase G
1552633_at	zinc finger protein 101
1552634_a_at	zinc finger protein 101
1552637_at	protein tyrosine phosphatase, non-receptor type 11
1552639_at	kelch domain containing 7B
1552641_s_at	ATPase family, AAA domain containing 3B
1552641_s_at	ATPase family, AAA domain containing 3A
1552643_at	zinc finger protein 626
1552644_a_at	polyhomeotic homolog 3 (Drosophila)
1552646_at	interleukin 11 receptor, alpha
1552648_a_at	tumor necrosis factor receptor superfamily, member 10a
1552649_a_at	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
1552649_a_at	RAD51L3-RFFL readthrough
1552651_a_at	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
1552651_a_at	RAD51L3-RFFL readthrough
1552652_at	Hermansky-Pudlak syndrome 4
1552656_s_at	U2AF homology motif (UHM) kinase 1
1552657_a_at	thioredoxin domain containing 2 (spermatozoa)
1552658_a_at	neuron navigator 3
1552660_a_at	chromosome 5 open reading frame 22
1552661_at	protocadherin gamma subfamily B, 7
1552662_a_at	protocadherin gamma subfamily B, 7
1552663_a_at	ELKS/RAB6-interacting/CAST family member 1
1552664_at	folliculin
1552665_at	JMJD1C antisense RNA 1
1552666_a_at	leucine rich repeat containing 7
1552667_a_at	SH2 domain containing 3C
1552669_at	protein phosphatase 1, regulatory subunit 3B
1552670_a_at	protein phosphatase 1, regulatory subunit 3B
1552671_a_at	solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7
1552672_a_at	immunoglobulin superfamily, member 3
1552673_at	regulatory factor X, 6
1552674_at	disrupted in renal carcinoma 1
1552675_at	DnaJ (Hsp40) homolog, subfamily B, member 7
1552676_at	urocortin 3
1552677_a_at	disco-interacting protein 2 homolog A
1552678_a_at	ubiquitin specific peptidase 28
1552680_a_at	cancer susceptibility candidate 5
1552682_a_at	cancer susceptibility candidate 5
1552684_a_at	SUMO/sentrin peptidase family member, NEDD8 specific
1552685_a_at	grainyhead-like transcription factor 1
1552686_at	cyclic nucleotide binding domain containing 2
1552687_a_at	cyclic nucleotide binding domain containing 2
1552689_at	CASK interacting protein 1
1552690_a_at	calcium channel, voltage-dependent, alpha 2/delta subunit 4
1552691_at	ADP-ribosylation factor-like 11
1552693_at	ADP-ribosylation factor-like 11
1552694_at	solute carrier family 2 (facilitated glucose transporter), member 13
1552695_a_at	solute carrier family 2 (facilitated glucose transporter), member 13
1552696_at	non imprinted in Prader-Willi/Angelman syndrome 1
1552698_at	tubulin, alpha 3f, pseudogene
1552701_a_at	caspase recruitment domain family, member 16
1552703_s_at	caspase recruitment domain family, member 16
1552703_s_at	caspase 1, apoptosis-related cysteine peptidase
1552705_at	dual specificity phosphatase 19
1552708_a_at	dual specificity phosphatase 19
1552711_a_at	cytochrome b5 domain containing 1
1552712_a_at	nicotinamide nucleotide adenylyltransferase 2
1552713_a_at	solute carrier family 4 (anion exchanger), member 1 (Diego blood group)
1552714_at	cellular repressor of E1A-stimulated genes 2
1552715_a_at	relaxin/insulin-like family peptide receptor 1
1552716_at	sperm flagellar 2
1552717_s_at	centrosomal protein 170kDa pseudogene 1
1552717_s_at	centrosomal protein 170kDa
1552718_at	D-tyrosyl-tRNA deacylase 1
1552719_at	cancer susceptibility candidate 4
1552721_a_at	fibroblast growth factor 1 (acidic)
1552722_at	cAMP-regulated phosphoprotein, 21kDa
1552724_at	Rhox homeobox family, member 1
1552725_s_at	ADAM metallopeptidase with thrombospondin type 1 motif, 17
1552726_at	ADAM metallopeptidase with thrombospondin type 1 motif, 17
1552727_s_at	ADAM metallopeptidase with thrombospondin type 1 motif, 17
1552729_at	small nucleolar RNA host gene 7
1552729_at	small nucleolar RNA, H/ACA box 17
1552729_at	small nucleolar RNA, H/ACA box 43
1552730_at	desert hedgehog
1552731_at	actin binding Rho activating protein
1552732_at	actin binding Rho activating protein
1552733_at	kelch domain containing 1
1552734_at	RPTOR independent companion of MTOR, complex 2
1552735_at	protocadherin gamma subfamily C, 3
1552735_at	protocadherin gamma subfamily A, 4
1552736_a_at	neuropilin (NRP) and tolloid (TLL)-like 1
1552737_s_at	WW domain containing E3 ubiquitin protein ligase 2
1552738_a_at	suppression of tumorigenicity 7 like
1552739_s_at	suppression of tumorigenicity 7 like
1552740_at	chromosome 2 open reading frame 15
1552742_at	potassium channel, voltage gated eag related subfamily H, member 8
1552743_at	MCF.2 cell line derived transforming sequence-like
1552745_at	solute carrier organic anion transporter family, member 6A1
1552747_a_at	protein phosphatase 2C-like domain containing 1
1552749_a_at	kinesin light chain 3
1552750_at	calcium and integrin binding family member 3
1552751_a_at	calcium and integrin binding family member 3
1552752_a_at	cell adhesion molecule 2
1552754_a_at	cell adhesion molecule 2
1552755_at	chromosome 9 open reading frame 66
1552757_s_at	chromosome 9 open reading frame 66
1552758_at	histone deacetylase 9
1552760_at	histone deacetylase 9
1552761_at	solute carrier family 16, member 11
1552763_at	transmembrane protein 67
1552765_x_at	transmembrane protein 67
1552766_at	heparan sulfate 6-O-sulfotransferase 2
1552767_a_at	heparan sulfate 6-O-sulfotransferase 2
1552768_at	calcium/calmodulin-dependent protein kinase kinase 1, alpha
1552769_at	zinc finger protein 625
1552770_s_at	zinc finger protein 563
1552771_a_at	lin-9 DREAM MuvB core complex component
1552772_at	C-type lectin domain family 4, member D
1552773_at	C-type lectin domain family 4, member D
1552774_a_at	solute carrier family 25, member 27
1552775_at	G protein-coupled receptor, class C, group 6, member A
1552777_a_at	retinoic acid early transcript 1E
1552779_a_at	solute carrier family 44, member 5
1552782_at	solute carrier family 44, member 5
1552783_at	zinc finger protein 417
1552785_at	zinc finger protein 781
1552787_at	helicase (DNA) B
1552788_a_at	helicase (DNA) B
1552789_at	SEC62 homolog, preprotein translocation factor
1552790_a_at	SEC62 homolog, preprotein translocation factor
1552791_a_at	triadin
1552792_at	suppressor of cytokine signaling 4
1552793_at	chromosome 8 open reading frame 31
1552794_a_at	zinc finger protein 547
1552796_a_at	single-minded family bHLH transcription factor 1
1552797_s_at	prominin 2
1552798_a_at	toll-like receptor 4
1552799_at	t-SNARE domain containing 1
1552800_at	abhydrolase domain containing 11
1552801_at	calpain 13
1552803_a_at	stathmin 1
1552804_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552806_a_at	sialic acid binding Ig-like lectin 10
1552807_a_at	sialic acid binding Ig-like lectin 10
1552808_at	ADAMTS-like 1
1552809_at	regulatory factor X, 4 (influences HLA class II expression)
1552811_at	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
1552812_a_at	SUMO1/sentrin specific peptidase 1
1552813_at	Kruppel-like factor 14
1552814_a_at	Kruppel-like factor 14
1552816_at	nucleoredoxin-like 2
1552818_a_at	bombesin-like receptor 3
1552819_at	long intergenic non-protein coding RNA 205
1552822_at	thioredoxin-related transmembrane protein 3
1552825_at	zinc finger protein 396
1552826_at	solute carrier family 26 (anion exchanger), member 7
1552827_s_at	solute carrier family 26 (anion exchanger), member 7
1552828_at	sorting nexin 18
1552829_at	NA
1552830_at	F-box protein 39
1552833_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
1552834_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6
1552835_at	DENN/MADD domain containing 1B
1552836_at	zinc finger protein 619
1552837_at	intestinal cell (MAK-like) kinase
1552839_at	family with sequence similarity 71, member D
1552841_s_at	BCL2-like 14 (apoptosis facilitator)
1552842_at	heparan sulfate 6-O-sulfotransferase 3
1552843_at	solute carrier family 26 (anion exchanger), member 1
1552845_at	claudin 15
1552846_s_at	RAB42, member RAS oncogene family
1552848_a_at	patched domain containing 1
1552849_at	meiosis 1 associated protein
1552851_at	zinc finger and SCAN domain containing 4
1552852_a_at	zinc finger and SCAN domain containing 4
1552853_at	von Willebrand factor A domain containing 5B1
1552854_a_at	von Willebrand factor A domain containing 5B1
1552856_at	long intergenic non-protein coding RNA 311
1552857_a_at	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled
1552858_at	melanoma antigen family B6
1552860_at	transcription elongation factor B polypeptide 3C (elongin A3)
1552860_at	transcription elongation factor B polypeptide 3C-like
1552860_at	transcription elongation factor B polypeptide 3C-like 2
1552860_at	RNA polymerase II transcription factor SIII subunit A3-like
1552862_at	RUSC1 antisense RNA 1
1552863_a_at	calcium channel, voltage-dependent, gamma subunit 6
1552865_a_at	lamin tail domain containing 1
1552867_at	NA
1552868_at	CIRBP antisense RNA 1
1552870_s_at	axonemal dynein light chain domain containing 1
1552872_at	ASMTL antisense RNA 1
1552873_s_at	ASMTL antisense RNA 1
1552875_a_at	CD200 receptor 1
1552876_at	long intergenic non-protein coding RNA 334
1552877_s_at	long intergenic non-protein coding RNA 334
1552878_at	atonal bHLH transcription factor 7
1552879_a_at	atonal bHLH transcription factor 7
1552880_at	SEC16 homolog B, endoplasmic reticulum export factor
1552882_a_at	APC membrane recruitment protein 1
1552884_at	NK6 homeobox 3
1552885_a_at	NK6 homeobox 3
1552887_at	thymus, brain and testes associated
1552889_a_at	exocyst complex component 3-like 2
1552890_a_at	calcium binding protein 4
1552892_at	tumor necrosis factor receptor superfamily, member 13C
1552893_at	calcium/calmodulin-dependent protein kinase II inhibitor 2
1552895_a_at	ankyrin repeat domain 30B pseudogene 2
1552897_a_at	potassium channel, voltage gated modifier subfamily G, member 3
1552898_a_at	potassium channel, voltage gated modifier subfamily G, member 3
1552899_at	long intergenic non-protein coding RNA 1312
1552900_a_at	long intergenic non-protein coding RNA 1312
1552902_a_at	forkhead box P2
1552903_at	beta-1,4-N-acetyl-galactosaminyl transferase 2
1552904_at	neuropilin (NRP) and tolloid (TLL)-like 1
1552906_at	fragile X mental retardation 1 neighbor
1552908_at	germinal center-associated, signaling and motility-like
1552910_at	sialic acid binding Ig-like lectin 11
1552911_at	sialic acid binding Ig-like lectin 11
1552912_a_at	interleukin 23 receptor
1552913_at	melanoma antigen family B18
1552914_a_at	CD276 molecule
1552915_at	interferon, lambda 2
1552917_at	interferon, lambda 1
1552919_at	chromosome 4 open reading frame 36
1552921_a_at	fidgetin-like 1
1552922_at	regulating synaptic membrane exocytosis 1
1552923_a_at	phosphatidylinositol transfer protein, membrane-associated 2
1552924_a_at	phosphatidylinositol transfer protein, membrane-associated 2
1552925_at	protocadherin 10
1552927_at	TGF-beta activated kinase 1/MAP3K7 binding protein 3
1552928_s_at	TGF-beta activated kinase 1/MAP3K7 binding protein 3
1552929_at	G protein-coupled receptor kinase 7
1552930_at	membrane metallo-endopeptidase-like 1
1552931_a_at	phosphodiesterase 8A
1552932_at	NLR family, pyrin domain containing 6
1552933_at	AKNA domain containing 1
1552935_at	zinc finger, CCHC domain containing 5
1552937_s_at	ATR interacting protein
1552937_s_at	three prime repair exonuclease 1
1552938_at	Zic family member 5
1552939_at	angiopoietin 1
1552940_at	transmembrane epididymal protein 1
1552942_at	uncharacterized LOC149373
1552943_at	gamma-aminobutyric acid (GABA) A receptor, gamma 1
1552944_a_at	pannexin 2
1552946_at	zinc finger protein 114
1552947_x_at	zinc finger protein 114
1552948_at	coiled-coil domain containing 27
1552950_at	chromosome 15 open reading frame 26
1552952_at	RNA binding motif protein, Y-linked, family 2, member F pseudogene
1552952_at	RNA binding motif protein, Y-linked, family 1, member A1 pseudogene
1552953_a_at	neuronal differentiation 2
1552954_at	chromosome 5 open reading frame 17
1552955_at	long intergenic non-protein coding RNA 208
1552957_at	dynein, axonemal, heavy chain 6
1552960_at	leucine rich repeat containing 15
1552961_at	NA
1552964_at	cilia and flagella associated protein 46
1552965_a_at	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7
1552967_at	zinc finger protein 645
1552969_a_at	zinc finger, MYM-type 6
1552970_s_at	zinc finger, MYM-type 6
1552971_at	sarcoglycan, zeta
1552972_at	uncharacterized LOC100507431
1552973_at	wingless-type MMTV integration site family, member 9B
1552974_at	NA
1552975_x_at	NA
1552976_at	DnaJ (Hsp40) homolog, subfamily B, member 13
1552977_a_at	canopy FGF signaling regulator 3
1552978_a_at	secretory carrier membrane protein 1
1552979_at	long intergenic non-protein coding RNA 471
1552980_at	hyaluronan synthase 3
1552982_a_at	fibroblast growth factor 4
1552985_at	solute carrier family 30 (zinc transporter), member 8
1552986_at	uncharacterized protein BC008131
1552987_a_at	uncharacterized LOC439933
1552988_at	chromosome 11 open reading frame 65
1552990_at	family with sequence similarity 71, member E2
1552991_at	olfactory receptor, family 5, subfamily P, member 2
1552993_at	DPY30 domain containing 1
1552995_at	interleukin 27
1552997_a_at	IQ motif containing F1
1552998_at	defensin, beta 125
1552999_a_at	WAP four-disulfide core domain 10B
1553002_at	defensin, beta 105A
1553002_at	defensin, beta 105B
1553003_at	polycystic kidney and hepatic disease 1 (autosomal recessive)
1553004_at	polycystic kidney disease 1 like 1
1553006_at	adhesion G protein-coupled receptor G4
1553007_a_at	teneurin transmembrane protein 1
1553009_s_at	REX1, RNA exonuclease 1 homolog-like 1, pseudogene
1553011_at	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like
1553013_at	contactin associated protein-like 5
1553015_a_at	RecQ helicase-like 4
1553016_at	adhesion G protein-coupled receptor F3
1553019_at	transmembrane channel-like 2
1553020_at	Smith-Magenis syndrome chromosome region, candidate 5 (non-protein coding)
1553021_s_at	bicaudal D homolog 2 (Drosophila)
1553022_at	zinc finger, imprinted 3
1553023_a_at	NADPH oxidase, EF-hand calcium binding domain 5
1553024_at	DAOA antisense RNA 1
1553025_at	adhesion G protein-coupled receptor G6
1553027_a_at	kelch-like family member 4
1553028_at	G protein-coupled receptor 156
1553030_a_at	sulfite oxidase
1553031_at	adhesion G protein-coupled receptor F4
1553032_at	interleukin 31 receptor A
1553033_at	synaptotagmin-like 5
1553034_at	serologically defined colon cancer antigen 8
1553036_at	adhesion G protein-coupled receptor F2
1553037_a_at	synapsin II
1553039_a_at	ankyrin repeat and SOCS box containing 10
1553041_at	5-hydroxytryptamine (serotonin) receptor 3C, ionotropic
1553042_a_at	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, delta
1553043_a_at	CD300 molecule-like family member f
1553044_at	gap junction protein, alpha 10, 62kDa
1553045_at	wingless-type MMTV integration site family, member 9A
1553046_s_at	galactose-3-O-sulfotransferase 2
1553047_at	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
1553048_a_at	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
1553051_s_at	outer dense fiber of sperm tails 3
1553052_at	WAP four-disulfide core domain 13
